mp_id,party,sex,age,highedu,phd,Terms,business,law,leadingpos,Committees,job,money,beauty,competence,likability,trustworthy,intelligence
120,CDUCSU,1,56,1,0,5,0,0,0,4,6,0,3,2.5999999,2.5999999,2.4000001,2.5999999
121,CDUCSU,1,62,0,0,5,0,0,1,0,2,0,3.4000001,3.2,3,2.5999999,3
122,SPD,1,58,0,0,5,0,0,0,2,4,0,3.8,3,3.2,3,3.4000001
123,CDUCSU,0,57,0,1,3,0,0,1,1,6,41.666668,3.5999999,2.8,3.2,2.8,2.4000001
124,GREEN,0,53,1,0,3,0,0,0,2,15,0,3.4000001,3.4000001,2.5999999,2.8,3
125,CDUCSU,0,42,0,0,2,0,0,1,3,11,0,4,3.666666,4.4444442,4.333333,3.1111109
126,SPD,1,47,0,0,4,0,0,1,2,5,0,3.8888879,3.2222221,3.1111109,2.8888879,3.5555551
127,CDUCSU,1,48,1,0,3,0,0,0,2,1,0,3.4000001,3,3.2,3,3.4000001
128,CDUCSU,0,57,0,0,2,1,0,0,2,1,0,3.8,3.2,3,3.2,3.2
129,CDUCSU,0,62,1,0,8,0,1,0,1,3,0,3.8,3.4000001,3.4000001,3.4000001,3.4000001
130,CDUCSU,0,39,1,0,3,0,0,0,1,3,0,3.8,3.5999999,3.5999999,3.4000001,3.5999999
131,FDP,1,54,1,0,3,0,0,1,3,7,41.666668,3,2.5999999,2.4000001,2.5999999,2.4000001
132,CDUCSU,1,42,0,1,2,0,0,1,2,2,0,3.4000001,3.4000001,2.8,2.2,2.8
133,CDUCSU,0,53,1,0,2,1,0,0,1,3,2630.2083,3.5999999,3.4000001,3,3.4000001,3
134,SPD,1,48,0,0,4,0,0,0,2,1,0,3,2.5999999,2.4000001,2.8,2.8
135,SPD,0,58,1,0,3,0,0,0,2,1,0,3.4000001,2.8,3.4000001,3.2,3
136,CDUCSU,0,60,0,0,5,1,0,1,1,1,0,4.5999999,4.1999998,3.4000001,3.5999999,3.4000001
137,SPD,1,49,0,0,2,1,0,1,2,11,0,3,2.5999999,3,2.8,2.4000001
138,SPD,1,52,1,0,4,0,0,0,1,4,0,1.8,2.4000001,2,2.4000001,2.4000001
139,FDP,0,40,1,0,2,0,1,1,1,10,0,3,2.5999999,2.8,2.8,2.2
140,FDP,0,62,1,0,4,0,0,0,1,3,583.33331,4.4000001,3.8,3.4000001,4,3.2
141,FDP,0,55,1,0,5,1,0,1,1,3,583.33331,3.5999999,2.5999999,3,3.2,2.2
142,CDUCSU,0,48,0,1,3,0,1,0,1,6,0,3.4000001,3,3.2,3.5999999,2.8
143,SPD,0,33,1,0,1,0,0,0,1,0,0,3,2.5999999,3,2.5999999,2.2
144,CDUCSU,0,59,1,0,5,0,0,1,2,4,0,3.2,3,3,3,3
145,CDUCSU,0,56,1,0,3,0,1,0,3,10,0,4.5999999,3.8,3.8,3.2,3.4000001
146,CDUCSU,0,56,0,1,2,1,0,1,3,13,1062.5,2.8888879,2.777777,3,3.1111109,2.5555551
147,CDUCSU,0,53,1,0,6,0,1,1,5,9,1994.7916,4,3.8,4,3.8,3.8
148,SPD,0,46,1,0,1,0,0,1,0,5,7000,3,3.2,3.4000001,3.4000001,3.2
149,CDUCSU,0,56,0,1,2,0,1,1,2,5,0,3.5555551,3,3.4444439,3.4444439,3.333333
150,CDUCSU,0,53,0,1,3,0,1,0,3,3,416.66666,3.5999999,3.2,4.1999998,4.1999998,3.2
151,LINKE,0,62,0,0,2,0,0,0,1,0,0,3.2,2.5999999,2.8,2.5999999,3
152,GREEN,0,28,1,0,1,0,0,0,2,0,0,3,3.2,2.5999999,3,2.8
153,CDUCSU,0,66,1,0,6,0,1,0,4,2,0,3.8,3,3,3,2.5999999
154,FDP,0,56,0,1,1,0,0,0,2,1,0,3.4000001,3.2,3.2,4,3.8
155,FDP,0,62,0,1,4,0,0,1,2,7,2333.3333,3.2222221,2.8888879,3.777777,3.4444439,3
156,SPD,0,34,1,0,1,0,0,0,2,0,0,4,3.8,4,3.8,3.5999999
157,CDUCSU,0,54,1,0,2,1,0,0,2,13,1000,3,2.5999999,3,2.8,2.4000001
158,SPD,1,41,1,0,5,0,0,0,1,3,0,3.2,2.8,2.5999999,2.4000001,3
159,CDUCSU,0,61,0,0,9,0,0,1,1,4,7000,3.5999999,3.2,4,4,2.8
160,SPD,0,55,1,0,4,0,0,1,0,2,7000,3.8,3.5999999,3.4000001,3.4000001,3.2
161,CDUCSU,0,44,1,0,2,0,1,0,0,2,0,2.8,2.8,3.2,3.2,2.8
162,FDP,0,59,1,0,3,0,0,0,1,5,0,4.2222219,3.2222221,3.5555551,2.8888879,3.333333
163,LINKE,1,30,1,0,1,0,0,0,3,3,0,3.5999999,3.2,2.8,2.5999999,2.2
164,CDUCSU,0,55,1,0,2,0,0,0,1,6,0,3.4000001,3.2,3.5999999,3.5999999,3.4000001
165,GREEN,1,39,0,0,3,0,0,1,2,8,0,2.2,2.5999999,2.4000001,2.4000001,2.4000001
166,CDUCSU,0,58,1,0,5,0,0,0,2,3,0,3.4000001,3,3,3,2.8
167,CDUCSU,0,50,0,1,6,0,1,0,1,5,0,3.5999999,3.2,4,4,3.2
168,SPD,1,55,0,0,3,0,0,0,2,0,0,3.2,3.4000001,3,3,3.5999999
169,SPD,1,58,1,0,4,0,0,0,2,3,0,3.4000001,3.2,2.5999999,2.4000001,3.2
170,CDUCSU,1,50,1,0,2,0,1,0,3,3,2666.6667,2.8,2,2.8,2.2,2.4000001
171,SPD,0,60,1,0,4,0,0,0,1,2,0,3,2.5999999,2.4000001,2.4000001,2.5999999
172,SPD,1,51,1,0,3,0,0,1,5,8,0,3.4000001,3,2.8,2.5999999,2.8
173,SPD,1,39,1,0,3,0,0,1,1,7,0,3.4000001,3,2.8,2.5999999,2.8
174,CDUCSU,0,44,1,0,2,0,0,0,3,2,0,3.8,3.4000001,3.8,4,3.4000001
175,CDUCSU,0,44,1,0,4,0,1,0,1,3,41.666668,4,3.5999999,3.5999999,3.4000001,3.8
176,SPD,1,50,0,0,2,0,0,0,2,9,0,3,3.4000001,2.2,2.4000001,3
177,CDUCSU,0,45,1,0,2,0,1,1,2,4,0,3.4000001,2.8,3.2,2.8,2.8
178,SPD,0,58,1,0,6,0,0,1,0,1,7000,4,3.5555551,3.8888879,3.666666,3.4444439
179,SPD,0,58,0,0,3,0,0,0,3,4,0,3.8,3,3.2,3,3
180,CDUCSU,0,46,0,0,2,0,1,0,3,4,0,4.4000001,4,4.4000001,4.5999999,3.8
181,CDUCSU,0,50,1,0,4,0,0,0,5,1,0,4.2222219,3.5555551,4.4444442,4.1111112,3.333333
182,FDP,1,30,1,0,1,0,0,1,2,0,0,2.5999999,3.4000001,3.2,3,3.4000001
183,CDUCSU,1,43,1,0,1,0,0,0,3,16,6270.8335,2.8,3.2,2.5999999,2.8,3
184,SPD,0,58,1,0,1,0,0,0,3,0,0,4.1999998,3.2,3.4000001,3.5999999,2.8
185,FDP,0,57,1,0,5,0,0,0,2,3,0,3.8,3,3.4000001,3.5999999,3.4000001
186,CDUCSU,0,34,0,1,2,0,0,0,1,5,0,2,2.75,2.5,3.25,2.5
187,CDUCSU,0,35,1,0,2,0,1,0,1,3,0,2.8,3.2,3.4000001,3.4000001,2.8
188,LINKE,0,57,0,1,5,0,1,1,1,5,2276.0417,3.5999999,3.4000001,3.2,3.2,2.8
189,SPD,0,56,1,0,6,0,1,1,1,5,0,3.2,2.8,3.2,3,2.5999999
190,SPD,1,50,0,0,2,0,0,0,2,2,0,2.8,2.4000001,3.4000001,3.2,2.8
191,SPD,0,58,1,0,4,0,0,1,4,2,0,3.2,2.5999999,2.4000001,2.8,2.8
192,CDUCSU,0,34,1,0,2,0,0,1,5,12,0,3,3,4,3.5999999,3.2
193,GREEN,1,42,1,0,2,0,0,0,1,4,0,3.4000001,3,2.8,3.2,2.8
194,LINKE,1,39,1,0,1,0,0,0,2,1,0,3.2,3.2,2.8,2.4000001,3.5999999
195,FDP,1,55,0,1,2,0,0,0,2,0,0,3.5999999,2.8,3.4000001,3.2,3.2
196,SPD,0,62,1,0,4,0,1,1,0,2,7000,3.2,3,3.5999999,3.5999999,3
197,SPD,0,42,1,0,2,0,0,1,2,6,0,4.1999998,3.8,3.8,4,3.8
198,CDUCSU,1,55,1,0,6,1,0,1,1,2,0,2.8,2.8,2.8,2.8,3.2
199,GREEN,1,44,1,0,1,0,0,0,3,3,0,3,2.8,2.5999999,2.5999999,2.2
200,SPD,1,37,1,0,3,0,0,0,2,2,0,2.5999999,3.4000001,3.8,3.8,2.8
201,FDP,0,51,1,0,1,0,0,0,1,9,1166.6666,3.5999999,3.8,3.5999999,3.4000001,3.5999999
202,SPD,0,33,1,0,3,0,0,1,0,1,7000,3,3,3.8,3.8,3
203,LINKE,0,39,1,0,1,0,1,0,3,0,0,3.8,3.4000001,3.4000001,3.4000001,3.2
204,CDUCSU,1,40,1,0,3,1,0,0,0,3,7000,2.777777,3.2222221,3.2222221,3.1111109,3.2222221
205,CDUCSU,1,54,1,0,2,0,0,1,4,0,0,3.2,3.4000001,2.8,3,3.4000001
206,SPD,0,61,0,1,4,0,0,0,1,2,0,3.4000001,3.2,3,2.8,2.5999999
207,SPD,0,57,1,0,4,0,0,0,2,3,0,3.1111109,2.8888879,3.333333,3.2222221,3
208,SPD,1,53,0,1,4,0,0,1,1,8,7000,3.4000001,3.2,2.5999999,2.8,3
209,CDUCSU,0,40,1,0,2,0,1,0,1,3,0,3,3,3.4000001,3.5999999,3.2
210,GREEN,1,45,1,0,1,0,0,,1,5,0,3,2.5999999,2.4000001,2.4000001,3
211,GREEN,0,53,1,0,3,0,0,0,4,5,0,2.8888879,2.8888879,2.777777,2.8888879,2.777777
212,CDUCSU,0,43,1,0,2,0,0,0,3,0,0,3.5555551,3.4444439,3.5555551,3.2222221,3.2222221
213,SPD,0,47,0,0,3,0,0,0,1,1,0,3.5999999,3,2.4000001,2.5999999,2.5999999
214,SPD,1,46,1,0,2,0,0,0,4,1,0,2.5999999,2.8,2.5999999,2.5999999,2.5999999
215,GREEN,0,46,1,0,2,0,0,1,1,5,0,4.1999998,3.5999999,3,2.8,3.4000001
